ticker,setup,score,price,entry,stop,target_2r,target_3r,risk_pct,rsi14,pullback_pct_below_sma50,coil_ratio,rel_strength_pct_vs_spy
AMLX,Pullback to 20-day,0.467,32.38999938964844,33.24,30.98,37.76,40.02,6.8,53.0,-19.2,0.902,80.12
GTLB,Breakout ready,0.466,49.790000915527344,50.27,45.37,60.07,64.97,9.75,64.6,-22.53,0.684,75.52
WPM,Pullback to 20-day,0.462,147.66000366210938,151.79,142.64,170.09,179.24,6.03,51.0,-10.27,0.942,25.15
FNV,Pullback to 20-day,0.461,261.67999267578125,265.88,253.7,290.24,302.42,4.58,54.6,-9.32,0.942,19.22
DBRG,Pullback to 20-day,0.461,15.920000076293945,15.92,15.84,16.08,16.16,0.5,52.4,-0.2,1.245,-4.26
COP,Pullback to 20-day,0.456,127.52999877929688,131.13,126.35,140.69,145.47,3.65,43.2,-1.6,1.362,15.05
VZ,Trend reset at 50-day,0.455,47.68000030517578,48.4,46.94,51.32,52.78,3.02,39.9,0.21,1.335,-0.34
MTDR,Trend reset at 50-day,0.453,54.09000015258789,57.48,53.43,65.58,69.63,7.05,40.1,0.81,1.406,3.07
RGLD,Pullback to 20-day,0.453,250.11000061035156,251.37,238.88,276.35,288.84,4.97,52.0,-8.28,1.025,16.92
HSBC,Pullback to 20-day,0.449,103.20999908447266,103.85,100.28,110.99,114.56,3.44,49.5,-0.1,1.381,3.5
T,Pullback to 20-day,0.443,25.450000762939453,25.83,24.65,28.19,29.37,4.57,51.0,-4.05,1.243,9.43
DVN,Pullback to 20-day,0.442,47.59000015258789,48.23,46.74,51.21,52.7,3.09,48.9,-3.33,1.267,6.84
RGEN,Breakout ready,0.44,180.7100067138672,182.59,169.17,209.43,222.85,7.35,63.1,-11.72,0.914,18.83
SAN,Pullback to 20-day,0.436,14.619999885559082,14.66,14.22,15.54,15.98,3.0,50.9,-1.9,1.35,3.67
A,Breakout ready,0.435,161.94000244140625,163.11,154.37,180.59,189.33,5.36,69.0,-10.93,0.942,14.13
APA,Pullback to 20-day,0.434,43.810001373291016,44.45,42.62,48.11,49.94,4.12,52.9,-9.09,1.159,26.41
CRGY,Pullback to 20-day,0.434,13.260000228881836,13.68,13.08,14.88,15.48,4.39,46.1,-6.29,1.322,26.99
ACVA,Volatility coil,0.432,10.479999542236328,10.51,9.59,12.35,13.27,8.75,79.0,-32.71,0.098,53.91
IAG,Pullback to 20-day,0.431,20.1299991607666,20.9,19.23,24.24,25.91,7.99,54.3,-12.22,0.955,21.56
JXN,Pullback to 20-day,0.409,131.8699951171875,134.19,124.93,152.71,161.97,6.9,48.0,-1.77,1.629,19.1
HPE,Breakout ready,0.391,61.75,64.07,55.58,81.05,89.54,13.25,60.8,-17.37,0.921,26.9
OKTA,Breakout ready,0.376,191.3300018310547,192.69,173.78,230.51,249.42,9.81,65.7,-24.26,0.859,54.83
RBRK,Breakout ready,0.341,112.95999908447266,113.45,101.72,136.91,148.64,10.34,67.4,-25.7,0.949,53.45
DELL,Breakout ready,0.337,575.3099975585938,594.32,519.0,744.96,820.28,12.67,62.8,-23.6,0.923,35.14
